id,full_name,p_b,job,country,state,city,series,no_of_units,marketing,warranty
515,Fritz Arthurs,Personal,Student,United States,California,Corona,XPS,1,Tech Blogs,6
516,Letti Cant,Business,Game developer,United States,California,Palmdale,Chromebook,64,Tech Blogs,24
517,Adolpho Aish,Personal,Software Engineer,United States,California,Corona,Inspiron,2,Tech Blogs,36
518,Sallee McIlherran,Business,Game developer,Canada,Ontario,Parry Sound,Dell Security,33,Tech Blogs,36
519,Federica Fentem,Personal,Software Engineer,United States,California,San Francisco,Inspiron,2,Tech Blogs,24
520,Latia Blais,Personal,Game developer,Canada,Ontario,Parry Sound,Dell Storage,2,Tech Blogs,6
521,Brod Iacoboni,Business,Game developer,United States,California,Van Nuys,Chromebook,74,Social Networks,12
522,Ashlen Beacom,Business,Game developer,Canada,Ontario,North Bay,Chromebook,25,Tech Blogs,6
523,Adelbert Bartalini,Personal,Game developer,United States,California,Carlsbad,Chromebook,2,Social Networks,6
524,Lombard Tattersfield,Personal,Software Engineer,United States,California,Carlsbad,XPS,1,Tech Blogs,12
525,Nesta Stickford,Personal,Game developer,Canada,Ontario,Woodstock,Inspiron,2,Tech Blogs,12
526,Mattie Luce,Personal,Game developer,United States,California,Pasadena,Dell Security,2,Tech Blogs,12
527,Karly Pogson,Business,Software Engineer,Canada,Ontario,Carleton Place,Alienware,85,Tech Blogs,36
528,Si Senecaux,Business,Software Engineer,United States,California,Pasadena,XPS,30,Tech Blogs,12
529,Hayes Roncelli,Business,Game developer,United States,California,Oakland,Dell Storage,54,Tech Blogs,36
530,Will Insole,Business,Game developer,United States,California,Torrance,Chromebook,48,Tech Blogs,6
531,Clovis Silmon,Personal,Game developer,United States,California,San Diego,Inspiron,2,Tech Blogs,12
532,Horatio Skyner,Personal,Chef,United States,California,Long Beach,Chromebook,2,Tech Blogs,12
533,Gardener Yven,Business,Software Engineer,United States,California,Los Angeles,Dell Storage,35,Tech Blogs,6
534,Carmon Filimore,Personal,Chef,United States,California,Fullerton,Dell Storage,2,Tech Blogs,24
535,Clarine Lantaff,Personal,Chef,Canada,Ontario,Iroquois Falls,XPS,1,Tech Blogs,12
536,Shayne Buer,Business,Game developer,United States,California,San Jose,XPS,97,Tech Blogs,36
537,Alfie Tyrone,Personal,Chef,Canada,Ontario,Markham,Chromebook,2,Social Networks,36
538,Shelagh Tramel,Business,Game developer,Canada,Ontario,Port Colborne,Chromebook,24,Tech Blogs,6
539,Brnaby Dulson,Personal,Game developer,Canada,Ontario,St. Thomas,Dell Storage,2,Tech Blogs,6
540,Celka Falconbridge,Business,Software Engineer,United States,California,Sacramento,Dell Security,84,Tech Blogs,6
541,Adorne Baudic,Personal,Game developer,United States,California,Los Angeles,Dell Storage,2,Tech Blogs,12
542,Noella Almon,Business,Software Engineer,Canada,Ontario,St. Catharines,Chromebook,20,Tech Blogs,36
543,Flor Whacket,Personal,Game developer,Canada,Ontario,Mississauga,Alienware,1,Tech Blogs,24
544,Amitie Dadson,Business,Game developer,United States,California,Garden Grove,Dell Security,29,Tech Blogs,6
545,Dara Teek,Personal,Chef,United States,California,Oakland,Dell Security,1,Tech Blogs,12
546,Cherice Roxbrough,Business,Software Engineer,Canada,Ontario,Picton,XPS,28,Tech Blogs,24
547,Gertrude Gaythwaite,Business,Software Engineer,United States,California,Pasadena,Dell Storage,22,Tech Blogs,6
548,Hailee Farrans,Business,Software Engineer,Canada,Ontario,Pickering,Dell Security,32,Tech Blogs,24
549,Annecorinne Glennon,Personal,Software Engineer,United States,California,San Jose,Dell Storage,1,Tech Blogs,6
550,Olvan Schiesterl,Business,Software Engineer,Canada,Ontario,Woodstock,Alienware,31,Tech Blogs,6
551,Donny Longhurst,Personal,Software Engineer,Canada,Ontario,Owen Sound,Chromebook,1,Tech Blogs,12
552,Yasmin Alpe,Personal,Student,United States,California,Sacramento,Dell Security,1,Tech Blogs,36
553,Karin Collyer,Personal,Software Engineer,United States,California,Los Angeles,XPS,2,Tech Blogs,36
554,Patty Zumbusch,Business,Software Engineer,Canada,Ontario,Sarnia,Dell Storage,86,Tech Blogs,24
555,Abramo Leebetter,Business,Software Engineer,United States,California,Sacramento,Alienware,99,Tech Blogs,24
556,Galina Lawson,Business,Game developer,Canada,Ontario,Omemee,Dell Security,84,Tech Blogs,6
557,Isabella Haste,Business,Software Engineer,Canada,Ontario,Lambton Shores,XPS,88,Tech Blogs,24
558,Ulick Robun,Business,Software Engineer,United States,California,Stockton,Dell Storage,49,Tech Blogs,12
559,Matthieu Latore,Personal,Chef,United States,California,Corona,XPS,2,Tech Blogs,24
560,Sauncho Lambell,Personal,Student,Canada,Ontario,Marathon,Chromebook,1,Tech Blogs,6
561,Alejandro Skehens,Business,Game developer,United States,California,Mountain View,Dell Security,71,Tech Blogs,36
562,Monika Donke,Personal,Chef,United States,California,Fresno,Dell Storage,1,Tech Blogs,12
563,Ediva Wigfield,Business,Software Engineer,United States,California,Fresno,Dell Security,54,Tech Blogs,12
564,Rupert Krause,Business,Game developer,Canada,Ontario,Bells Corners,Dell Storage,73,Tech Blogs,12
565,Stevy De Marchi,Personal,Software Engineer,United States,California,Burbank,Alienware,1,Tech Blogs,24
566,Livvie Castellino,Business,Software Engineer,United States,California,Orange,Alienware,88,Tech Blogs,24
567,Antoni Hargrave,Business,Software Engineer,Canada,Ontario,Willowdale,Dell Storage,23,Tech Blogs,6
568,Barton Gansbuhler,Business,Software Engineer,Canada,Ontario,Pickering,Dell Storage,35,Tech Blogs,24
569,Chrissie Bleakman,Business,Software Engineer,United States,California,San Jose,Dell Storage,56,Offline,36
570,Roana Woolf,Business,Software Engineer,Canada,Ontario,Mississauga,Inspiron,61,Tech Blogs,12
571,Lammond De Coursey,Personal,Chef,Canada,Ontario,Prince Edward,Alienware,2,Tech Blogs,36
572,Roarke Neathway,Personal,Chef,United States,California,Pasadena,Chromebook,2,Social Networks,24
573,Esma Booker,Personal,Chef,United States,California,San Diego,Chromebook,2,Tech Blogs,12
574,Vanya Renton,Personal,Student,United States,California,Corona,Inspiron,1,Tech Blogs,24
575,Innis Govier,Business,Game developer,United States,California,Sacramento,Chromebook,97,Tech Blogs,36
576,Avery Landsberg,Personal,Software Engineer,United States,California,San Jose,Dell Security,2,Tech Blogs,36
577,Gratia Lacroix,Business,Game developer,Canada,Ontario,Peterborough,Alienware,80,Tech Blogs,36
578,Linus Simnor,Business,Game developer,United States,California,Oceanside,Alienware,78,Tech Blogs,6
579,Zulema Judgkins,Personal,Game developer,Canada,Ontario,Hearst,Inspiron,2,Tech Blogs,12
580,Sibley Ollerhad,Personal,Student,United States,California,Santa Cruz,Dell Security,1,Tech Blogs,6
581,Jenine Aggs,Business,Software Engineer,United States,California,Sacramento,Inspiron,44,Tech Blogs,36
582,Marcelia Bris,Personal,Chef,Canada,Ontario,Brant,Alienware,2,Tech Blogs,36
583,Larisa Carrabot,Personal,Game developer,United States,California,San Francisco,XPS,1,Tech Blogs,36
584,Elsie Shadbolt,Personal,Student,Canada,Ontario,Sarnia,Dell Security,2,Social Networks,36
585,Brigit Scrivenor,Personal,Chef,United States,California,Oceanside,XPS,2,Tech Blogs,12
586,Emmy Hauger,Business,Game developer,Canada,Ontario,Neebing,Inspiron,29,Tech Blogs,24
587,Lavena Glide,Personal,Chef,Canada,Ontario,Collingwood,Dell Security,2,Tech Blogs,12
588,Sela Lumber,Personal,Game developer,United States,California,Los Angeles,Dell Storage,1,Tech Blogs,6
589,Gay Schaffel,Personal,Student,Canada,Ontario,Barrie,Alienware,2,Tech Blogs,6
590,Ingunna Guiducci,Personal,Software Engineer,Canada,Ontario,London,Dell Security,2,Tech Blogs,24
591,Anestassia Glasscoe,Personal,Chef,Canada,Ontario,Picton,XPS,1,Tech Blogs,36
592,Kamilah Enrich,Personal,Game developer,Canada,Ontario,Bells Corners,Dell Security,1,Tech Blogs,6
593,Sorcha Antram,Personal,Student,United States,California,San Diego,Dell Security,2,Tech Blogs,6
594,Bruno Westerman,Business,Game developer,United States,California,San Jose,Alienware,55,Tech Blogs,36
595,Cliff Elington,Personal,Student,Canada,Ontario,Willowdale,XPS,2,Tech Blogs,36
596,Kermie Michie,Business,Software Engineer,Canada,Ontario,North Bay,Alienware,62,Tech Blogs,24
597,Sheelah Hasard,Business,Software Engineer,United States,California,Whittier,Inspiron,62,Tech Blogs,36
598,Abbey Youings,Personal,Student,Canada,Ontario,Atikokan,Dell Storage,2,Tech Blogs,12
599,Gareth Blamires,Business,Game developer,Canada,Ontario,Prince Edward,Dell Security,47,Tech Blogs,12
600,Lonna Gobolos,Business,Software Engineer,United States,California,Santa Barbara,Chromebook,78,Tech Blogs,6
601,Roselin Ruddle,Business,Game developer,Canada,Ontario,Belleville,XPS,91,Social Networks,12
602,Thatcher Cooke,Personal,Game developer,Canada,Ontario,Camlachie,XPS,2,Tech Blogs,6
603,Luella Di Giorgio,Personal,Software Engineer,United States,California,San Francisco,Alienware,2,Tech Blogs,24
604,Winnie Leyden,Business,Software Engineer,United States,California,Fresno,Chromebook,23,Tech Blogs,36
605,Lacey McCurtin,Business,Software Engineer,India,Andhra Pradesh,Agraharam,Dell Security,75,Social Networks,12
606,Devondra Ayshford,Personal,Game developer,Canada,Ontario,Napanee Downtown,Dell Storage,2,Social Networks,24
607,Tera Condy,Business,Game developer,United States,California,San Diego,XPS,55,Tech Blogs,6
608,Krystle Corkan,Business,Software Engineer,United States,California,San Francisco,XPS,41,Tech Blogs,36
609,Frants Burde,Personal,Software Engineer,Canada,Ontario,Aylmer,Dell Security,1,Tech Blogs,6
610,Dewitt McIlmorie,Personal,Software Engineer,United States,California,Petaluma,Dell Security,2,Tech Blogs,24
611,Francklyn Torn,Business,Game developer,United States,California,Palmdale,Inspiron,43,Tech Blogs,36
612,Danni Fuller,Personal,Software Engineer,Canada,Ontario,Rayside-Balfour,Dell Storage,2,Tech Blogs,24
613,Mari Rzehorz,Business,Game developer,United States,California,Whittier,XPS,21,Tech Blogs,36
614,Druci Mabee,Personal,Software Engineer,United States,California,Van Nuys,Dell Security,2,Social Networks,36
615,Georgianne Glozman,Business,Software Engineer,Canada,Ontario,Espanola,Alienware,93,Tech Blogs,12
616,Agnes Clausewitz,Business,Software Engineer,United States,California,San Diego,Chromebook,95,Tech Blogs,24
617,Lidia Goodger,Business,Software Engineer,Canada,Ontario,Delaware,Dell Security,62,Tech Blogs,24
618,Fiann Fattorini,Business,Game developer,United States,California,San Diego,Dell Storage,97,Tech Blogs,36
619,Michail Coate,Business,Game developer,United States,California,Santa Rosa,Dell Security,98,Tech Blogs,12
620,Boyd Rawet,Business,Software Engineer,United States,California,Sacramento,Alienware,22,Tech Blogs,36
621,Juan Heymes,Business,Game developer,United States,California,Sacramento,XPS,48,Tech Blogs,36
622,Trumann Mayward,Personal,Chef,Canada,Ontario,North Perth,XPS,1,Tech Blogs,6
623,Clive Wolver,Personal,Chef,United States,California,Glendale,Dell Security,2,Tech Blogs,12
624,Suzanne Lilleman,Personal,Chef,United States,California,San Diego,Dell Storage,1,Tech Blogs,24
625,Dolph Keningham,Business,Software Engineer,Canada,Ontario,Owen Sound,Dell Security,20,Tech Blogs,36
626,Jillana Kopke,Personal,Student,Canada,Ontario,Aylmer,Dell Storage,2,Tech Blogs,6
627,Urbain Mitchelmore,Personal,Chef,United States,California,Whittier,Alienware,1,Tech Blogs,12
628,Timofei Pasek,Business,Game developer,Canada,Ontario,Kapuskasing,Dell Security,61,Tech Blogs,6
629,Mame Bartul,Personal,Game developer,Canada,Ontario,Oshawa,Alienware,1,Tech Blogs,24
630,Kipper Agates,Business,Game developer,Canada,Ontario,Amherstburg,Dell Storage,27,Tech Blogs,24
631,Merilyn Abramovicz,Business,Software Engineer,Canada,Ontario,Windsor,XPS,22,Tech Blogs,36
632,Tally Guye,Personal,Software Engineer,United States,California,Bakersfield,Dell Security,2,Tech Blogs,12
633,Maegan Ficken,Personal,Chef,United States,California,Oakland,Inspiron,2,Social Networks,12
634,Inez Trustram,Personal,Chef,United States,California,Fresno,Chromebook,1,Tech Blogs,24
635,Elihu Greenig,Business,Software Engineer,United States,California,Stockton,Dell Storage,73,Tech Blogs,6
636,Marielle Purkiss,Personal,Chef,Canada,Ontario,Greater Napanee,Chromebook,1,Tech Blogs,24
637,Terrill Toke,Business,Software Engineer,United States,California,San Francisco,XPS,64,Tech Blogs,24
638,Bette-ann Konerding,Business,Software Engineer,United States,California,Mountain View,Dell Storage,78,Tech Blogs,12
639,Delmar Jellings,Personal,Chef,India,Andhra Pradesh,Agraharam,XPS,1,Social Networks,36
640,Carce Karpfen,Personal,Student,Canada,Ontario,Orangeville,Alienware,1,Tech Blogs,12
641,Pryce Griffey,Business,Software Engineer,Canada,Ontario,Kirkland Lake,Alienware,40,Tech Blogs,6
642,Bobine Elgar,Business,Software Engineer,Canada,Ontario,Brampton,XPS,61,Tech Blogs,24
643,Ulrica Portchmouth,Personal,Student,United States,California,Sacramento,Alienware,1,Tech Blogs,6
644,Fernandina Moresby,Business,Game developer,United States,California,Fullerton,XPS,32,Tech Blogs,6
645,Mel MacKey,Business,Software Engineer,United States,California,Santa Barbara,Inspiron,89,Tech Blogs,36
646,Ashlee Thornhill,Business,Game developer,United States,California,Orange,Chromebook,42,Tech Blogs,6
647,Deirdre Spelwood,Business,Software Engineer,Canada,Ontario,Kitchener,Chromebook,27,Tech Blogs,36
648,Mareah Sheron,Business,Software Engineer,United States,California,Chico,Dell Storage,22,Tech Blogs,6
649,Baily Lyokhin,Business,Game developer,Canada,Ontario,Concord,Alienware,29,Tech Blogs,6
650,Fields Bamlett,Business,Software Engineer,Canada,Ontario,Omemee,Dell Security,46,Tech Blogs,12
651,Trip Costard,Business,Game developer,United States,California,Pasadena,Dell Security,91,Tech Blogs,24
652,Melosa Frosdick,Business,Game developer,Canada,Ontario,Stratford,XPS,85,Tech Blogs,36
653,Robert Costi,Personal,Software Engineer,Canada,Ontario,North Perth,Alienware,1,Tech Blogs,12
654,Mavis Roels,Business,Software Engineer,United States,California,Petaluma,Dell Security,29,Tech Blogs,6
655,Rutger Ryson,Personal,Chef,Canada,Ontario,Niagara Falls,XPS,2,Tech Blogs,24
656,Binni Erlam,Business,Game developer,Canada,Ontario,Camlachie,Dell Storage,94,Tech Blogs,24
657,Moises Caunter,Business,Software Engineer,Canada,Ontario,Waterloo,XPS,41,Tech Blogs,36
658,Kimmy Hambling,Business,Software Engineer,United States,California,Orange,Dell Storage,68,Tech Blogs,12
659,Frederica Cicculi,Personal,Chef,United States,California,Pasadena,XPS,1,Tech Blogs,24
660,Doreen Darwood,Personal,Student,Canada,Ontario,Skatepark,Chromebook,1,Tech Blogs,6
661,Gale Tumilson,Personal,Chef,United States,California,Los Angeles,Inspiron,2,Tech Blogs,12
662,Neile Edmett,Personal,Software Engineer,Canada,Ontario,Aylmer,Dell Storage,1,Tech Blogs,36
663,Karrie Treker,Personal,Software Engineer,United States,California,San Diego,Chromebook,1,Tech Blogs,36
664,Erna Pentelow,Business,Software Engineer,Canada,Ontario,Gananoque,Dell Security,33,Tech Blogs,6
665,My Kinnett,Business,Software Engineer,Canada,Ontario,Angus,Dell Storage,39,Tech Blogs,36
666,Cindie Westpfel,Personal,Software Engineer,United States,California,Inglewood,Dell Storage,2,Tech Blogs,36
667,Julina Foad,Business,Software Engineer,Canada,Ontario,Mississauga,XPS,29,Tech Blogs,6
668,Theresa Ruddick,Business,Game developer,United States,California,Sacramento,Alienware,28,Tech Blogs,6
669,Andrey Abbey,Personal,Software Engineer,Canada,Ontario,St. Thomas,Dell Security,2,Tech Blogs,6
670,Corene McEvoy,Business,Software Engineer,Canada,Ontario,Port Colborne,Alienware,90,Tech Blogs,24
671,Victor Hemstead,Business,Game developer,United States,California,Fullerton,Chromebook,42,Tech Blogs,36
672,Zach Barents,Business,Game developer,United States,California,Sacramento,Inspiron,65,Tech Blogs,24
673,Deena Pucknell,Business,Game developer,Canada,Ontario,Aylmer,Dell Security,81,Social Networks,24
674,Jonathon Corradeschi,Business,Software Engineer,United States,California,Sacramento,Alienware,96,Tech Blogs,6
675,Dominica Alderwick,Personal,Student,Canada,Ontario,Niagara Falls,Chromebook,2,Tech Blogs,36
676,Julietta Chilley,Business,Software Engineer,United States,California,Stockton,Inspiron,81,Tech Blogs,6
677,Heall Bosma,Personal,Game developer,Canada,Ontario,Owen Sound,Alienware,1,Tech Blogs,6
678,Pail Peirson,Personal,Game developer,United States,California,Santa Rosa,Chromebook,2,Tech Blogs,6
679,Gearalt Littell,Personal,Chef,United States,California,Sacramento,Inspiron,1,Tech Blogs,12
680,Wolfy Antonov,Business,Software Engineer,United States,California,Fullerton,XPS,78,Tech Blogs,36
681,Mollie Wardrope,Personal,Software Engineer,United States,California,San Jose,XPS,1,Tech Blogs,36
682,Tan Corbet,Business,Game developer,United States,California,Sacramento,XPS,96,Tech Blogs,36
683,Leo Hatch,Personal,Software Engineer,Canada,Ontario,Keswick,Dell Security,2,Tech Blogs,24
684,Scottie Swanwick,Business,Software Engineer,United States,California,Fresno,Inspiron,46,Tech Blogs,12
685,Stanford Grebbin,Business,Game developer,United States,California,Sacramento,Dell Security,41,Tech Blogs,12
686,Maribelle Petriello,Personal,Student,United States,California,Oceanside,XPS,2,Tech Blogs,36
687,Rorke Larsen,Business,Software Engineer,United States,California,San Diego,Inspiron,64,Tech Blogs,12
688,Wenonah Broun,Personal,Game developer,Canada,Ontario,Ottawa,Inspiron,1,Tech Blogs,36
689,Ber Turfes,Personal,Chef,United States,California,San Diego,Dell Storage,2,Tech Blogs,24
690,Amabel Bean,Business,Software Engineer,United States,California,Fresno,Chromebook,66,Social Networks,24
691,Miguelita Melbourne,Personal,Student,United States,California,San Jose,Alienware,2,Tech Blogs,6
692,Tonia Bavidge,Personal,Chef,Canada,Ontario,Norfolk County,Alienware,2,Tech Blogs,36
693,Winny Attreed,Personal,Game developer,Canada,Ontario,Oakville,Chromebook,2,Tech Blogs,36
694,Malvina Trulock,Personal,Chef,Canada,Ontario,Ingersoll,Alienware,1,Tech Blogs,12
695,Shirl Jirka,Personal,Game developer,United States,California,Garden Grove,Alienware,2,Tech Blogs,24
696,Nanci Falconar,Personal,Student,United States,California,Sunnyvale,XPS,2,Tech Blogs,12
697,Sullivan Broose,Personal,Student,Canada,Ontario,Arnprior,Chromebook,1,Tech Blogs,6
698,Josi Doleman,Business,Game developer,United States,California,San Francisco,Inspiron,30,Tech Blogs,36
699,Babb Nassau,Personal,Student,Canada,Ontario,Toronto,Chromebook,2,Tech Blogs,12
700,Guenevere Willeman,Business,Software Engineer,United States,California,Bakersfield,Alienware,27,Tech Blogs,24
701,Humberto Barton,Business,Software Engineer,United States,California,Los Angeles,XPS,97,Tech Blogs,12
702,Guenevere Naire,Personal,Game developer,United States,California,Petaluma,Chromebook,1,Social Networks,12
703,Umberto MacKee,Personal,Software Engineer,United States,California,Inglewood,Inspiron,2,Tech Blogs,24
704,Kelsey Chrstine,Personal,Chef,Canada,Ontario,Arnprior,Dell Storage,2,Tech Blogs,36
705,Gerta Hunnywell,Personal,Game developer,United States,California,Garden Grove,Chromebook,1,Tech Blogs,36
706,Alfons Duesbury,Personal,Software Engineer,Canada,Ontario,Fort Erie,Dell Security,1,Tech Blogs,6
707,Kev O'Dowgaine,Business,Software Engineer,United States,California,Oakland,Dell Storage,56,Tech Blogs,24
708,Melany Inskipp,Personal,Chef,Canada,Ontario,Toronto,Chromebook,2,Tech Blogs,6
709,Rafaela Belham,Business,Software Engineer,United States,California,Palmdale,Chromebook,87,Social Networks,6
710,Lilllie Blois,Business,Game developer,Canada,Ontario,Milton,Alienware,81,Tech Blogs,12
711,Sandy McDermid,Personal,Software Engineer,United States,California,Van Nuys,Dell Security,2,Tech Blogs,12
712,Cassaundra Andrick,Personal,Game developer,United States,California,Sacramento,XPS,2,Tech Blogs,12
713,Katee O'Luney,Business,Software Engineer,United States,California,Whittier,Inspiron,82,Tech Blogs,36
714,Ellen Lynd,Personal,Student,Canada,Ontario,Thessalon,Inspiron,2,Tech Blogs,12
715,Truda Thomasson,Business,Game developer,United States,California,San Diego,Chromebook,87,Tech Blogs,6
716,Daniel Callen,Business,Software Engineer,United States,California,Whittier,XPS,74,Tech Blogs,24
717,Elle Lorentzen,Personal,Game developer,United States,California,San Diego,Alienware,1,Tech Blogs,24
718,Zabrina Ellard,Business,Game developer,Canada,Ontario,Bancroft,Inspiron,21,Tech Blogs,12
719,Jess Levin,Business,Software Engineer,Canada,Ontario,Timmins,Chromebook,56,Tech Blogs,36
720,Shep Read,Personal,Game developer,Canada,Ontario,Vaughan,Dell Storage,1,Tech Blogs,6
721,Billie Mully,Business,Software Engineer,United States,California,Bakersfield,Dell Security,58,Tech Blogs,12
722,Desmund Milland,Business,Software Engineer,Canada,Ontario,Atikokan,Chromebook,25,Tech Blogs,6
723,Phip Potebury,Personal,Student,United States,California,San Diego,Dell Storage,1,Tech Blogs,36
724,Vikki Horsley,Business,Software Engineer,United States,California,Glendale,Dell Storage,39,Tech Blogs,24
725,Starla Radband,Personal,Student,United States,California,Lancaster,Dell Storage,2,Tech Blogs,36
726,Claretta Cardoe,Business,Software Engineer,Canada,Ontario,Timmins,Chromebook,69,Social Networks,12
727,Phillip Gherardesci,Personal,Software Engineer,Canada,Ontario,Port Colborne,Alienware,2,Tech Blogs,12
728,Clair Crother,Business,Software Engineer,United States,California,Garden Grove,Dell Storage,20,Social Networks,6
729,Stephine Jimmes,Personal,Software Engineer,Canada,Ontario,Lambton Shores,Inspiron,1,Tech Blogs,36
730,Saunders Scowcraft,Personal,Student,Canada,Ontario,Wingham,Chromebook,2,Tech Blogs,12
731,Kari Champain,Personal,Chef,United States,California,San Jose,Inspiron,2,Tech Blogs,6
732,Charmane Gianolo,Business,Software Engineer,United States,California,Santa Cruz,Chromebook,31,Tech Blogs,12
733,Adolpho Hartridge,Business,Software Engineer,Canada,Ontario,Marathon,Inspiron,75,Tech Blogs,12
734,Whitney Hardaker,Personal,Chef,Canada,Ontario,Pickering,Dell Storage,2,Tech Blogs,6
735,Karen Petters,Personal,Software Engineer,Canada,Ontario,Mattawa,Dell Security,2,Tech Blogs,24
736,Tansy MacTague,Personal,Student,United States,California,San Diego,Chromebook,1,Tech Blogs,24
737,Tedie Pettyfer,Personal,Student,Canada,Ontario,South River,Inspiron,2,Tech Blogs,36
738,Karel Rossander,Personal,Game developer,Canada,Ontario,Aylmer,Inspiron,1,Tech Blogs,6
739,Lilli Obin,Business,Game developer,United States,California,Sacramento,XPS,59,Tech Blogs,24
740,Gavrielle Brignall,Business,Software Engineer,United States,California,Alhambra,XPS,57,Tech Blogs,36
741,Coralie Clacey,Personal,Game developer,Canada,Ontario,Mississauga,XPS,2,Tech Blogs,36
742,Mandel Erridge,Personal,Student,United States,California,Carlsbad,Alienware,2,Tech Blogs,6
743,Jory Hughson,Personal,Software Engineer,Canada,Ontario,Pembroke,Chromebook,1,Tech Blogs,12
744,Jaimie McAlpine,Business,Software Engineer,Canada,Ontario,Thorold,Inspiron,96,Tech Blogs,6
745,Claudelle Szimon,Business,Software Engineer,United States,California,Fullerton,XPS,65,Tech Blogs,6
746,Ronnie Risdale,Business,Software Engineer,United States,California,Los Angeles,Dell Security,49,Tech Blogs,36
747,Dena O'Currigan,Business,Software Engineer,United States,California,Bakersfield,Dell Security,58,Tech Blogs,6
748,Meier Reckless,Business,Game developer,Canada,Ontario,North Bay,Alienware,32,Tech Blogs,6
749,Maiga Pensom,Personal,Software Engineer,United States,California,Palmdale,Alienware,2,Tech Blogs,24
750,Ernaline Abrahim,Business,Game developer,United States,California,Garden Grove,Inspiron,65,Recommendation,6
751,Desiri Pitrasso,Personal,Software Engineer,United States,California,Los Angeles,Dell Security,1,Tech Blogs,24
752,Rosco Girardy,Business,Software Engineer,Canada,Ontario,Waterloo,Dell Storage,38,Tech Blogs,36
753,Adelina Di Frisco,Business,Game developer,United States,California,Palmdale,Dell Security,91,Tech Blogs,24
754,Eileen Armatidge,Personal,Chef,United States,California,Oceanside,Alienware,1,Tech Blogs,24
755,Sarita Archbold,Personal,Software Engineer,Canada,Ontario,Midland,Inspiron,1,Tech Blogs,36
756,Heinrick Duffitt,Personal,Game developer,United States,California,Van Nuys,Dell Storage,2,Tech Blogs,24
757,Niel Falconar,Business,Game developer,United States,California,Sacramento,Dell Storage,55,Tech Blogs,12
758,Chicky Croux,Personal,Chef,Canada,Ontario,South River,Dell Security,1,Tech Blogs,36
759,Jojo Batchelour,Personal,Game developer,Canada,Ontario,Bells Corners,Chromebook,1,Tech Blogs,12
760,Danyette Cuer,Business,Game developer,United States,California,Fresno,Inspiron,73,Tech Blogs,6
761,Lainey Ruddom,Personal,Chef,Canada,Ontario,Camlachie,XPS,1,Tech Blogs,24
762,Chic Garmon,Personal,Game developer,Canada,Ontario,North York,Inspiron,1,Tech Blogs,6
763,Buddie Kearley,Business,Software Engineer,Canada,Ontario,North Perth,Inspiron,65,Tech Blogs,6
764,Susie Eltone,Business,Software Engineer,United States,California,Inglewood,Dell Storage,79,Tech Blogs,6
765,Karyn Buckel,Business,Game developer,United States,California,Whittier,Dell Storage,55,Tech Blogs,6
766,Bryna Firpo,Personal,Software Engineer,Canada,Ontario,North Bay,XPS,1,Tech Blogs,6
767,Ibrahim Mowett,Personal,Student,United States,California,Salinas,Dell Storage,1,Tech Blogs,36
768,Heath Hyslop,Business,Game developer,Canada,Ontario,Petawawa,Alienware,60,Tech Blogs,6
769,Corbett Yates,Personal,Software Engineer,Canada,Ontario,Omemee,Dell Security,2,Tech Blogs,6
770,Guenna Staddart,Personal,Chef,United States,California,Fresno,Chromebook,1,Tech Blogs,36
771,Leese Andreopolos,Personal,Software Engineer,United States,California,San Diego,Chromebook,1,Tech Blogs,24
772,Elvin Dolphin,Business,Game developer,Canada,Ontario,Aylmer,XPS,88,Tech Blogs,24
773,Kristyn Vockins,Business,Game developer,Canada,Ontario,Camlachie,Dell Storage,77,Tech Blogs,6
774,Kaleb Sprules,Personal,Game developer,United States,California,San Francisco,Dell Storage,1,Tech Blogs,24
775,Lusa Maron,Personal,Software Engineer,United States,California,Los Angeles,Chromebook,2,Tech Blogs,36
776,Halie Shackelton,Business,Game developer,Canada,Ontario,Skatepark,Dell Security,31,Tech Blogs,12
777,Abba Dory,Business,Software Engineer,Canada,Ontario,Renfrew,Alienware,72,Tech Blogs,24
778,Terencio Nordass,Personal,Software Engineer,Canada,Ontario,Vaughan,Chromebook,2,Social Networks,12
779,Gretchen Brotherhead,Business,Software Engineer,United States,California,Bakersfield,Dell Security,80,Tech Blogs,6
780,Cecil Crichten,Personal,Software Engineer,United States,California,San Rafael,Chromebook,1,Social Networks,12
781,Filberto Alloway,Personal,Software Engineer,United States,California,Sacramento,Dell Security,1,Social Networks,12
782,Gayler Smedley,Business,Software Engineer,Canada,Ontario,Ajax,XPS,96,Social Networks,36
783,Sheeree Lowmass,Personal,Game developer,United States,California,Santa Ana,Dell Storage,2,Tech Blogs,6
784,Margret Deards,Personal,Game developer,Canada,Ontario,Clarence-Rockland,Chromebook,1,Tech Blogs,36
785,Hattie Circuitt,Personal,Student,United States,California,Los Angeles,Chromebook,1,Tech Blogs,12
786,Wilmar Gyde,Business,Game developer,United States,California,Sacramento,XPS,85,Tech Blogs,6
787,Deck Gratland,Business,Software Engineer,Canada,Ontario,Thorold,Inspiron,97,Tech Blogs,36
788,Shirlene Axelby,Personal,Student,United States,California,Santa Ana,Dell Security,1,Tech Blogs,36
789,Orran Bloodworthe,Personal,Chef,Canada,Ontario,Niagara Falls,Alienware,2,Social Networks,12
790,Delilah Niland,Business,Software Engineer,United States,California,Oceanside,Inspiron,27,Tech Blogs,24
791,Jayme Westphal,Personal,Chef,Canada,Ontario,Collingwood,Dell Storage,2,Tech Blogs,6
