id,full_name,p_b,job,country,state,city,marketing,series,no_of_units,warranty
1222,Sigismondo Critchard,Business,Student,United States,California,Pasadena,Tech Blogs,Servers,94,36
1223,Dorita Janauschek,Business,Chef,Canada,Ontario,Powassan,Recommendation,XPS,89,24
1224,Park Estabrook,Personal,Software Engineer,Canada,Ontario,Markham,Recommendation,XPS,1,6
1225,Jenni Bilverstone,Business,Student,Canada,Ontario,London,Tech Blogs,XPS,20,12
1226,Stephanie McFater,Personal,Software Engineer,Canada,Ontario,Port Colborne,Tech Blogs,XPS,2,24
1227,Othilia Pere,Personal,Chef,United States,California,Santa Barbara,Offline,XPS,2,12
1228,Karlee Abrahamsson,Personal,Chef,Canada,Ontario,Parry Sound,Offline,XPS,1,24
1229,Jeth O'Codihie,Personal,Game developer,Canada,Ontario,Newmarket,Offline,XPS,1,24
1230,Jerry Cassels,Business,Software Engineer,United States,California,Oakland,Offline,Servers,95,36
1231,Grantley Addey,Personal,Student,Canada,Ontario,Renfrew,Recommendation,XPS,2,36
1232,Ruthy Oag,Business,Software Engineer,Canada,Ontario,Brant,Recommendation,XPS,50,12
1233,Holden Conklin,Personal,Software Engineer,United States,California,San Diego,Tech Blogs,Servers,1,24
1234,Winn Parram,Personal,Chef,Canada,Ontario,Markham,Offline,XPS,1,12
1235,Viv Karpmann,Business,Student,Canada,Ontario,St. Catharines,Offline,XPS,100,12
1236,Emmey Pedder,Business,Software Engineer,United States,California,Whittier,Offline,Servers,73,12
1237,Eydie Devita,Business,Student,United States,California,Los Angeles,Offline,Servers,66,36
1238,Murvyn Braime,Personal,Chef,Canada,Ontario,Hearst,Social Networks,XPS,1,6
1239,Micheil Strainge,Personal,Game developer,United States,California,Whittier,Offline,Servers,2,36
1240,Albertine Ballantyne,Business,Software Engineer,United States,California,Garden Grove,Offline,Servers,87,12
1241,Antonio Gantlett,Business,Student,United States,California,San Diego,Recommendation,Servers,63,24
1242,Karina Twiddy,Personal,Student,Canada,Ontario,Hanover,Recommendation,XPS,1,6
1243,Torrance Huyhton,Personal,Chef,Canada,Ontario,South River,Recommendation,XPS,1,6
1244,Jule Corgenvin,Business,Game developer,United States,California,Sunnyvale,Tech Blogs,Servers,62,36
1245,Leoline Enns,Business,Software Engineer,United States,California,Glendale,Tech Blogs,XPS,43,6
1246,Eolande Chrystie,Personal,Chef,United States,California,Torrance,Offline,Servers,2,12
1247,Tedi Buttwell,Business,Software Engineer,Canada,Ontario,Hearst,Social Networks,XPS,91,36
1248,Aggy Leisman,Personal,Software Engineer,United States,California,San Francisco,Social Networks,Servers,1,12
1249,Vivien Salmond,Business,Chef,United States,California,Stockton,Recommendation,Servers,68,6
1250,Godfry Silley,Business,Chef,Canada,Ontario,Gananoque,Recommendation,XPS,49,12
1251,Gilberta Redholes,Personal,Student,Canada,Ontario,St. Thomas,Offline,XPS,1,24
1252,Lorrie Colliber,Personal,Software Engineer,United States,California,San Francisco,Social Networks,Servers,2,24
1253,Joyous Walbrook,Personal,Chef,Canada,Ontario,Milton,Tech Blogs,XPS,1,24
1254,Andreana Redshaw,Business,Chef,United States,California,Huntington Beach,Recommendation,Servers,95,36
1255,Alex Farnorth,Business,Student,United States,California,Fresno,Social Networks,Servers,25,24
1256,Vidovic Kinneally,Business,Student,United States,California,Stockton,Social Networks,Servers,38,6
1257,Brook Redparth,Personal,Student,Canada,Ontario,Sarnia,Tech Blogs,XPS,2,6
1258,Cherrita Mateja,Business,Software Engineer,United States,California,Pasadena,Social Networks,Servers,56,24
1259,Magdalene Brane,Personal,Chef,United States,California,Chico,Social Networks,Servers,1,6
1260,Ermin Coltart,Business,Chef,United States,California,Alhambra,Recommendation,Servers,30,6
1261,Mozes Giraudot,Business,Chef,United States,California,San Jose,Recommendation,Servers,71,36
1262,Geoffry Stonehewer,Business,Student,Canada,Ontario,London,Tech Blogs,XPS,83,36
1263,Kareem Presland,Business,Game developer,Canada,Ontario,Kingston,Social Networks,XPS,53,12
1264,Mommy Corro,Business,Game developer,Canada,Ontario,Willowdale,Tech Blogs,XPS,22,12
1265,Garry Donnellan,Personal,Game developer,United States,California,Santa Ana,Recommendation,Servers,1,24
1266,Sebastiano Duckers,Business,Software Engineer,United States,California,San Diego,Social Networks,Servers,50,36
1267,Nathaniel Anthoin,Personal,Chef,Canada,Ontario,Innisfil,Recommendation,XPS,1,24
1268,Roseanne Crosswaite,Personal,Software Engineer,United States,California,Van Nuys,Tech Blogs,Servers,1,6
1269,Shep Knight,Business,Student,Canada,Ontario,Atikokan,Tech Blogs,XPS,76,12
1270,Siffre Pillinger,Personal,Game developer,Canada,Ontario,North Perth,Offline,XPS,2,24
1271,Jerald McEvon,Personal,Software Engineer,United States,California,Pasadena,Offline,Servers,1,24
1272,Harriott Stoll,Personal,Chef,Canada,Ontario,Little Current,Social Networks,XPS,1,6
1273,Mag Kaming,Personal,Chef,Canada,Ontario,Ajax,Recommendation,XPS,1,12
1274,Orran Muat,Business,Chef,United States,California,San Diego,Social Networks,Servers,20,12
1275,Richardo Gauford,Personal,Software Engineer,United States,California,Pasadena,Offline,Servers,2,12
1276,Carson Dussy,Business,Chef,Canada,Ontario,Norfolk County,Offline,XPS,71,12
1277,Giovanna Skillett,Business,Student,Canada,Ontario,Petawawa,Offline,XPS,75,36
1278,Tybi Cartwight,Personal,Chef,Canada,Ontario,Parry Sound,Tech Blogs,XPS,1,24
1279,Leda Babst,Personal,Student,Canada,Ontario,Delaware,Tech Blogs,XPS,2,36
1280,Scott Redmell,Business,Chef,United States,California,Long Beach,Social Networks,Servers,21,24
1281,Anne-marie Goodisson,Personal,Chef,Canada,Ontario,Arnprior,Offline,XPS,2,24
1282,Ilise Nevitt,Business,Game developer,United States,California,Sacramento,Offline,Servers,77,36
1283,Rutger McCleverty,Personal,Software Engineer,United States,California,Fresno,Tech Blogs,Servers,1,12
1284,Gavan Breckin,Personal,Chef,United States,California,Sacramento,Tech Blogs,Servers,2,6
1285,Germain Sandiford,Business,Game developer,United States,California,Sacramento,Tech Blogs,Servers,39,24
1286,Howie Mourton,Personal,Software Engineer,Canada,Ontario,Omemee,Offline,XPS,2,24
1287,Maggie Castaner,Personal,Chef,Canada,Ontario,St. Thomas,Social Networks,Alienware,2,24
1288,Ives Duckerin,Business,Student,Canada,Ontario,Atikokan,Recommendation,XPS,87,24
1289,Ferrell Yates,Personal,Game developer,United States,California,Burbank,Tech Blogs,Servers,1,36
1290,Orsola McAtamney,Personal,Student,United States,California,Palmdale,Social Networks,Servers,1,12
1291,Irving Bradnick,Business,Chef,United States,California,Long Beach,Tech Blogs,Servers,28,24
1292,Ethelred Britt,Personal,Chef,Canada,Ontario,Clarence-Rockland,Offline,XPS,1,6
1293,Diahann Waren,Personal,Chef,Canada,Ontario,Little Current,Social Networks,XPS,1,6
1294,Randi Eastwood,Business,Software Engineer,United States,California,Oakland,Social Networks,Servers,20,24
1295,Debby Fenn,Personal,Game developer,Canada,Ontario,Oshawa,Tech Blogs,XPS,2,36
1296,Sue Kelly,Business,Chef,Canada,Ontario,Port Colborne,Tech Blogs,XPS,21,36
1297,Clerkclaude Penreth,Business,Student,Canada,Ontario,Brant,Recommendation,XPS,45,24
1298,Boycey Horsefield,Personal,Student,Canada,Ontario,Thessalon,Recommendation,XPS,1,36
1299,Sam Goble,Personal,Game developer,Canada,Ontario,Kirkland Lake,Offline,XPS,1,24
1300,Carleen Seywood,Business,Chef,Canada,Ontario,Milton,Tech Blogs,XPS,20,36
1301,Madelina Sherburn,Personal,Chef,United States,California,Santa Ana,Recommendation,Alienware,2,12
1302,Avrom Farrier,Business,Chef,United States,California,Sacramento,Offline,Servers,58,6
1303,Rosabelle Caygill,Business,Chef,United States,California,San Diego,Offline,Servers,76,6
1304,Richie Chominski,Business,Chef,United States,California,Los Angeles,Recommendation,Servers,31,6
1305,Daisey McMurraya,Business,Software Engineer,Canada,Ontario,Ajax,Tech Blogs,XPS,80,24
1306,Anton Furmedge,Business,Student,Canada,Ontario,Neebing,Tech Blogs,XPS,34,24
1307,Ardis Mandrey,Business,Software Engineer,United States,California,Orange,Tech Blogs,Servers,33,36
1308,Augusta Kinworthy,Personal,Student,United States,California,Sacramento,Social Networks,Servers,1,6
1309,Bobinette Napoleon,Business,Software Engineer,United States,California,Petaluma,Social Networks,Servers,85,6
1310,Tabbitha Scotland,Personal,Software Engineer,Canada,Ontario,Timmins,Recommendation,XPS,1,6
1311,Theo Bendon,Personal,Game developer,Canada,Ontario,Kirkland Lake,Offline,XPS,1,36
1312,Giorgia Jurczyk,Personal,Student,Canada,Ontario,Collingwood,Tech Blogs,XPS,1,24
1313,Claire Rain,Personal,Chef,United States,California,Fresno,Social Networks,Servers,2,36
1314,Eddy Hulks,Business,Chef,United States,California,Los Angeles,Offline,Servers,29,36
1315,Edwina Zambon,Business,Software Engineer,Canada,Ontario,Atikokan,Recommendation,XPS,71,12
1316,Giorgio Humbert,Personal,Software Engineer,United States,California,Garden Grove,Offline,Servers,2,36
1317,Allina Cuddon,Personal,Chef,United States,California,Sacramento,Tech Blogs,Servers,2,24
1318,Lorry Klaves,Business,Game developer,United States,California,San Jose,Social Networks,Servers,76,6
1319,Gino Matthews,Personal,Chef,United States,California,Pasadena,Offline,Servers,2,6
1320,Kristel Patzelt,Personal,Software Engineer,United States,California,Pasadena,Social Networks,Servers,2,36
1321,Cyrill Branston,Business,Student,Canada,Ontario,Thessalon,Social Networks,XPS,73,6
1322,Nolly Gleadle,Personal,Student,Canada,Ontario,Norfolk County,Recommendation,XPS,1,12
1323,Chilton Ludovico,Business,Software Engineer,Canada,Ontario,Prince Edward,Tech Blogs,XPS,61,12
1324,Chucho Augustus,Personal,Chef,Canada,Ontario,Willowdale,Tech Blogs,XPS,2,12
1325,Alphonse De Vuyst,Personal,Game developer,India,Andhra Pradesh,Agraharam,Offline,Inspiron,2,24
1326,Arlena Bunstone,Business,Software Engineer,Canada,Ontario,Petawawa,Recommendation,XPS,83,6
1327,Bren Alkin,Business,Chef,Canada,Ontario,Thessalon,Offline,XPS,80,36
1328,Dido Marfe,Personal,Game developer,Canada,Ontario,Fort Erie,Recommendation,XPS,2,24
1329,Jeffy Fawltey,Business,Game developer,Canada,Ontario,Camlachie,Offline,XPS,89,24
1330,Dacie MacGall,Business,Software Engineer,United States,California,Los Angeles,Social Networks,Servers,51,12
1331,Stearne Joburn,Business,Student,United States,California,Corona,Recommendation,Servers,54,6
1332,Redd Meagh,Personal,Software Engineer,Canada,Ontario,Delaware,Tech Blogs,XPS,1,6
1333,Juana Zellner,Personal,Student,Canada,Ontario,Arnprior,Social Networks,XPS,2,12
1334,Augusta Gentsch,Business,Chef,Canada,Ontario,Casselman,Offline,XPS,33,36
1335,Bart Jorry,Business,Game developer,Canada,Ontario,Toronto,Offline,XPS,31,12
1336,Kareem Franiak,Business,Student,United States,California,San Francisco,Recommendation,Servers,80,6
1337,Christyna Ollier,Personal,Software Engineer,Canada,Ontario,Newmarket,Offline,XPS,1,6
1338,Elvina Petrasch,Business,Chef,Canada,Ontario,Renfrew,Tech Blogs,XPS,37,12
1339,Opal Frediani,Personal,Game developer,Canada,Ontario,Willowdale,Social Networks,XPS,1,12
1340,Janos Crocken,Business,Student,United States,California,San Diego,Tech Blogs,Servers,37,36
1341,Jesse Attock,Business,Student,Canada,Ontario,North Bay,Tech Blogs,XPS,55,24
1342,Betsy Hugin,Business,Student,Canada,Ontario,Wingham,Recommendation,XPS,58,12
1343,Tierney Heinzler,Business,Chef,Canada,Ontario,Barrie,Tech Blogs,XPS,44,36
1344,Vlad Keets,Personal,Student,Canada,Ontario,Wingham,Recommendation,Alienware,2,36
1345,Olympe Lemar,Personal,Chef,United States,California,Fullerton,Offline,XPS,2,36
1346,Hillary Faulconer,Business,Chef,United States,California,Petaluma,Social Networks,Servers,41,6
1347,Beilul Clother,Business,Game developer,Canada,Ontario,Niagara Falls,Recommendation,XPS,89,12
1348,Josephine Jorge,Personal,Software Engineer,United States,California,Long Beach,Offline,Servers,1,6
1349,Lynnea Blair,Business,Game developer,United States,California,Fresno,Recommendation,Servers,82,24
1350,Coralyn Kealy,Personal,Software Engineer,United States,California,Oakland,Recommendation,Servers,1,12
1351,Stefania Brookton,Business,Student,United States,California,Sacramento,Recommendation,Servers,38,6
1352,Boigie Iannuzzelli,Personal,Chef,Canada,Ontario,Markham,Recommendation,XPS,2,24
1353,Joey Ionesco,Personal,Software Engineer,Canada,Ontario,Vaughan,Tech Blogs,XPS,2,36
1354,Evin Gaggen,Business,Software Engineer,Canada,Ontario,Fort Erie,Recommendation,XPS,99,12
1355,Fred Scranney,Business,Software Engineer,Canada,Ontario,Petawawa,Social Networks,XPS,47,6
1356,Aloisia Varnals,Personal,Student,United States,California,San Francisco,Social Networks,Servers,2,6
1357,Yorgo Werlock,Personal,Chef,Canada,Ontario,Kapuskasing,Tech Blogs,XPS,1,24
1358,Norma Egdell,Personal,Student,Canada,Ontario,Barrie,Social Networks,XPS,1,6
1359,Nicolette Tiddy,Business,Software Engineer,Canada,Ontario,Rayside-Balfour,Social Networks,XPS,44,24
1360,Tuck Heeley,Business,Student,Canada,Ontario,Belleville,Offline,XPS,73,12
1361,Maurizio Shord,Personal,Software Engineer,United States,California,Sacramento,Offline,Servers,1,24
1362,Kata McTeague,Business,Game developer,Canada,Ontario,Ajax,Offline,XPS,46,24
1363,Ange Forrest,Personal,Game developer,Canada,Ontario,Hanover,Social Networks,XPS,1,24
1364,Glynn Wickling,Personal,Chef,United States,California,Los Angeles,Offline,Servers,2,36
1365,Nickola Roseaman,Business,Chef,United States,California,San Francisco,Social Networks,Servers,84,12
1366,Franny Waldram,Personal,Game developer,Canada,Ontario,Atikokan,Recommendation,XPS,1,36
1367,Abram Hoolaghan,Business,Student,United States,California,San Bernardino,Tech Blogs,Servers,34,12
1368,Phyllys Exrol,Personal,Student,United States,California,Pasadena,Offline,Servers,2,12
1369,Caroljean Claussen,Business,Game developer,Canada,Ontario,Kirkland Lake,Recommendation,XPS,77,12
1370,Ruthann Broughton,Personal,Student,United States,California,Sacramento,Social Networks,XPS,2,6
1371,Bianka Bassom,Personal,Chef,Canada,Ontario,Carleton Place,Social Networks,XPS,1,12
1372,See Selesnick,Business,Software Engineer,United States,California,Irvine,Offline,Servers,95,12
1373,Liana Allwood,Business,Student,Canada,Ontario,Marathon,Recommendation,XPS,68,12
1374,Emlynn Foottit,Business,Student,United States,California,Lancaster,Social Networks,Servers,29,24
1375,Abbe Krikorian,Business,Chef,Canada,Ontario,Mississauga,Social Networks,XPS,52,36
1376,Florella Casbourne,Business,Chef,United States,California,Pasadena,Tech Blogs,Servers,84,12
1377,Mattias Nother,Personal,Chef,United States,California,Fresno,Tech Blogs,Servers,2,6
1378,Sylvia O'Fogarty,Business,Software Engineer,United States,California,Los Angeles,Offline,Servers,34,36
1379,Corine Cousins,Business,Chef,Canada,Ontario,Arnprior,Recommendation,XPS,89,6
1380,Ester McCaughen,Business,Chef,United States,California,Fullerton,Recommendation,Servers,55,6
1381,Deirdre Clowney,Business,Game developer,Canada,Ontario,Port Colborne,Social Networks,XPS,53,12
1382,Ellswerth Cozens,Personal,Chef,Canada,Ontario,Mississauga,Offline,XPS,1,24
1383,Jean Shipton,Personal,Student,United States,California,Oakland,Tech Blogs,Servers,1,6
1384,Rosana Pennone,Business,Student,United States,California,Pasadena,Recommendation,Alienware,25,6
1385,Karyn Askin,Personal,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,2,12
1386,Neill Bonar,Business,Software Engineer,United States,California,Fresno,Tech Blogs,Servers,21,36
1387,Garrot Farrans,Business,Student,United States,California,Los Angeles,Tech Blogs,Servers,100,12
1388,Mitch Guare,Personal,Software Engineer,United States,California,Santa Cruz,Tech Blogs,XPS,1,36
1389,Cristie Sketchley,Personal,Software Engineer,Canada,Ontario,Pembroke,Offline,XPS,2,24
1390,Wanda Harbor,Personal,Software Engineer,United States,California,Stockton,Social Networks,Servers,2,6
1391,Lynnette Gooday,Personal,Student,United States,California,Inglewood,Recommendation,Servers,1,12
1392,Lamond Gallyon,Personal,Student,Canada,Ontario,Niagara Falls,Social Networks,XPS,2,36
1393,Rossie Gatward,Business,Game developer,Canada,Ontario,Smiths Falls,Offline,XPS,90,36
1394,Audre Marchent,Personal,Game developer,Canada,Ontario,Kitchener,Offline,XPS,1,24
1395,Sebastian Alltimes,Personal,Chef,United States,California,Pasadena,Recommendation,Servers,2,24
1396,Inigo Oxtiby,Personal,Software Engineer,Canada,Ontario,Marathon,Recommendation,XPS,1,12
1397,Stephan Littleproud,Personal,Game developer,Canada,Ontario,Kirkland Lake,Tech Blogs,XPS,1,6
1398,Ignace Emmert,Business,Student,United States,California,Mountain View,Recommendation,Servers,56,36
1399,Elberta Hinrichsen,Personal,Chef,Canada,Ontario,North Perth,Offline,XPS,1,24
1400,Rancell Cambell,Personal,Game developer,Canada,Ontario,Carleton Place,Recommendation,XPS,2,24
1401,Ken Wortley,Business,Software Engineer,United States,California,San Diego,Tech Blogs,Servers,90,24
1402,Jena Colafate,Personal,Student,United States,California,Sacramento,Offline,Servers,2,24
1403,Carolina Reasce,Business,Student,United States,California,Carlsbad,Recommendation,Servers,44,6
1404,Tedda Order,Business,Game developer,United States,California,Inglewood,Offline,Servers,99,12
1405,Sid Aumerle,Business,Chef,Canada,Ontario,Brampton,Offline,XPS,76,6
1406,Lauri Patton,Business,Chef,United States,California,Anaheim,Recommendation,Servers,91,24
1407,Karlens Goatcher,Personal,Chef,United States,California,Palmdale,Offline,Servers,1,6
1408,Carie Rootes,Business,Student,United States,California,Pasadena,Recommendation,Servers,41,12
1409,Chad McCay,Business,Software Engineer,Canada,Ontario,Smiths Falls,Offline,Inspiron,77,12
1410,Alexis Saura,Personal,Software Engineer,United States,California,Garden Grove,Social Networks,Servers,1,36
1411,Dulcea Kepp,Personal,Chef,United States,California,Salinas,Tech Blogs,Servers,2,36
1412,Laughton Balme,Personal,Software Engineer,United States,California,Bakersfield,Social Networks,Servers,2,36
1413,Mallory Brasseur,Business,Chef,Canada,Ontario,Little Current,Tech Blogs,XPS,41,24
1414,Dacia Lippini,Personal,Software Engineer,Canada,Ontario,St. Catharines,Tech Blogs,XPS,1,36
1415,Kevon Hannigane,Business,Student,United States,California,Burbank,Tech Blogs,Servers,72,12
1416,Orbadiah Grishelyov,Business,Game developer,Canada,Ontario,Prince Edward,Social Networks,Alienware,41,24
1417,Yasmin Goodwyn,Personal,Software Engineer,United States,California,Irvine,Tech Blogs,Servers,2,24
1418,Felizio Campanelli,Personal,Student,Canada,Ontario,Toronto,Recommendation,XPS,1,24
1419,Tammie Incogna,Personal,Chef,Canada,Ontario,Brant,Social Networks,XPS,1,6
1420,Erasmus Kleinber,Business,Student,Canada,Ontario,Norfolk County,Offline,XPS,24,36
1421,Pip Ramshay,Personal,Game developer,Canada,Ontario,Oakville,Social Networks,XPS,1,36
1422,Olenka Suddock,Personal,Game developer,United States,California,Pasadena,Tech Blogs,Servers,2,12
1423,Konstantin Dwelley,Personal,Chef,Canada,Ontario,Orangeville,Tech Blogs,XPS,1,6
1424,Fay Matskevich,Personal,Software Engineer,United States,California,Los Angeles,Social Networks,Servers,1,24
1425,Athene Trotter,Personal,Game developer,Canada,Ontario,Angus,Social Networks,XPS,1,24
1426,Ulick Kerry,Personal,Student,United States,California,Santa Barbara,Offline,Servers,1,6
1427,Phillip O'Henecan,Personal,Game developer,United States,California,San Diego,Offline,Servers,1,12
1428,Von Greste,Business,Chef,United States,California,Fresno,Offline,Servers,83,12
1429,Blaire Bignal,Business,Student,United States,California,San Jose,Offline,Servers,58,36
1430,Margaretta Bulcock,Personal,Student,United States,California,San Bernardino,Offline,Servers,1,6
1431,Jobie Gillespie,Business,Software Engineer,Canada,Ontario,Picton,Recommendation,XPS,36,12
1432,Carlyn Di Franceschi,Personal,Student,United States,California,Pasadena,Recommendation,Servers,1,6
1433,Elka Cousen,Personal,Student,United States,California,Fresno,Tech Blogs,Alienware,1,12
1434,Roobbie Bauduccio,Personal,Chef,Canada,Ontario,Markham,Offline,XPS,1,24
1435,Josie Bastable,Business,Game developer,Canada,Ontario,Port Colborne,Offline,XPS,77,24
1436,Angeline Lewton,Personal,Software Engineer,United States,California,San Bernardino,Offline,XPS,2,12
1437,Christoph Shakelady,Business,Chef,United States,California,Corona,Social Networks,Servers,79,36
1438,Liliane Gerler,Business,Chef,United States,California,Van Nuys,Offline,Servers,76,6
1439,Ede Cicetti,Business,Game developer,United States,California,Long Beach,Offline,Servers,48,24
1440,Rosalynd Devonport,Business,Software Engineer,Canada,Ontario,Peterborough,Offline,XPS,31,12
1441,Adolphe Byrnes,Business,Chef,Canada,Ontario,Carleton Place,Offline,XPS,48,24
1442,Titus Morffew,Personal,Game developer,United States,California,San Diego,Social Networks,Servers,2,6
1443,Graham Huddart,Personal,Software Engineer,Canada,Ontario,Kingston,Recommendation,XPS,1,6
1444,Sibel Trowill,Personal,Software Engineer,Canada,Ontario,Belleville,Tech Blogs,XPS,1,36
1445,Rory Bech,Personal,Student,United States,California,Sacramento,Social Networks,Servers,2,12
1446,Gabi Leglise,Business,Software Engineer,United States,California,Santa Monica,Recommendation,Servers,89,36
1447,Henrie Commuzzo,Business,Software Engineer,Canada,Ontario,Atikokan,Recommendation,XPS,69,24
1448,Griz Di Antonio,Personal,Software Engineer,United States,California,San Francisco,Social Networks,XPS,2,36
1449,Elston Leppo,Business,Game developer,Canada,Ontario,Delaware,Recommendation,XPS,91,36
1450,Maurice Gilbey,Personal,Software Engineer,Canada,Ontario,Thessalon,Recommendation,XPS,1,36
1451,Hirsch Haldane,Business,Software Engineer,Canada,Ontario,Iroquois Falls,Recommendation,XPS,99,12
1452,Corry Ivanishin,Personal,Game developer,Canada,Ontario,Norfolk County,Recommendation,XPS,2,12
1453,Merrill O'Gaven,Personal,Student,United States,California,Santa Monica,Tech Blogs,Alienware,1,6
1454,Rodge MacConnal,Business,Student,Canada,Ontario,South River,Offline,XPS,67,36
1455,Veda Hazeley,Business,Software Engineer,Canada,Ontario,North York,Tech Blogs,XPS,26,12
1456,Wheeler Terry,Business,Student,United States,California,Los Angeles,Tech Blogs,Servers,41,36
1457,Lesly Windridge,Business,Student,Canada,Ontario,Neebing,Tech Blogs,XPS,28,24
1458,Vicki de Castelain,Business,Chef,United States,California,San Jose,Recommendation,Servers,82,6
1459,Chauncey Posvner,Personal,Chef,United States,California,San Jose,Offline,Servers,2,36
1460,Lewes Cornier,Personal,Student,Canada,Ontario,Atikokan,Tech Blogs,XPS,2,6
1461,Logan Talks,Business,Game developer,Canada,Ontario,Brampton,Social Networks,XPS,98,6
1462,Jerrilee Trahar,Personal,Chef,United States,California,Stockton,Offline,Servers,2,36
1463,Chandra Falcus,Business,Game developer,United States,California,San Francisco,Offline,Servers,20,36
1464,Oswald Kopp,Personal,Game developer,Canada,Ontario,Petrolia,Recommendation,XPS,1,12
1465,Barn Detloff,Business,Student,United States,California,Los Angeles,Offline,Servers,57,36
1466,Filippa Renn,Personal,Game developer,Canada,Ontario,Brampton,Social Networks,XPS,2,12
1467,Sibelle Ruggiero,Business,Chef,Canada,Ontario,Milton,Recommendation,XPS,87,12
1468,Egor Santus,Business,Software Engineer,Canada,Ontario,Skatepark,Offline,XPS,81,36
1469,Bendicty Pluvier,Personal,Student,Canada,Ontario,Hearst,Social Networks,Inspiron,1,12
1470,Charleen Sudddard,Personal,Software Engineer,Canada,Ontario,Windsor,Social Networks,XPS,2,6
1471,Bridie Dormand,Personal,Game developer,United States,California,Fresno,Offline,XPS,2,24
1472,Rabbi Tooting,Personal,Software Engineer,Canada,Ontario,Espanola,Recommendation,XPS,1,6
1473,Gregorio Sanford,Business,Game developer,United States,California,Garden Grove,Offline,Servers,90,6
1474,Templeton Shorton,Personal,Student,Canada,Ontario,Dorchester,Offline,XPS,1,36
1475,Peria Jakel,Personal,Software Engineer,United States,California,Bakersfield,Recommendation,Servers,1,36
1476,Seumas Fleischmann,Personal,Game developer,Canada,Ontario,Mattawa,Offline,XPS,1,36
1477,Shirlene Parker,Personal,Software Engineer,United States,California,Sacramento,Social Networks,Servers,1,12
1478,Josee Breewood,Business,Software Engineer,United States,California,Burbank,Recommendation,Servers,41,36
1479,Bethanne Machent,Business,Student,Canada,Ontario,North York,Recommendation,XPS,62,12
1480,Ervin Lassetter,Personal,Game developer,Canada,Ontario,North Bay,Offline,XPS,1,36
1481,Spence Haslegrave,Personal,Software Engineer,United States,California,San Diego,Social Networks,Servers,1,6
1482,Merola Chubb,Business,Software Engineer,Canada,Ontario,North Perth,Tech Blogs,XPS,66,12
1483,Georgiana Frean,Personal,Chef,United States,California,Glendale,Social Networks,Servers,2,6
1484,Isa Basnett,Personal,Chef,United States,California,San Francisco,Tech Blogs,Servers,1,6
1485,Renata Crowdy,Personal,Student,United States,California,Garden Grove,Social Networks,Servers,1,6
1486,Gabrila Bartaletti,Personal,Chef,United States,California,Garden Grove,Tech Blogs,Servers,1,12
1487,Garner Akitt,Business,Chef,Canada,Ontario,Oakville,Offline,XPS,88,24
1488,Roberta Ledwich,Personal,Student,Canada,Ontario,Norfolk County,Tech Blogs,XPS,1,12
1489,Tandie Mandrake,Personal,Game developer,Canada,Ontario,South River,Tech Blogs,Alienware,1,6
1490,Rosanne Mulroy,Business,Student,United States,California,Sacramento,Tech Blogs,XPS,74,6
1491,Maryl Bondesen,Business,Game developer,United States,California,Bakersfield,Offline,Servers,50,24
1492,Allie Piatkowski,Personal,Software Engineer,United States,California,Orange,Recommendation,Servers,1,36
1493,Ewart Golland,Business,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,99,36
1494,Anatole Knapper,Business,Student,United States,California,Stockton,Social Networks,Servers,23,6
1495,Oran Brocklesby,Business,Game developer,United States,California,Whittier,Social Networks,Servers,76,12
1496,Arney Cafferky,Business,Chef,Canada,Ontario,Arnprior,Tech Blogs,XPS,34,24
1497,Dieter Oleshunin,Personal,Student,Canada,Ontario,Iroquois Falls,Recommendation,XPS,1,24
1498,Juliane Ducker,Personal,Software Engineer,United States,California,Huntington Beach,Tech Blogs,Servers,2,12
1499,Paddie Ruggen,Business,Chef,Canada,Ontario,Aylmer,Social Networks,XPS,55,36
1500,Magdaia Turri,Business,Software Engineer,United States,California,San Jose,Social Networks,Servers,98,24
1501,Lorain Raiment,Business,Game developer,United States,California,Santa Barbara,Offline,Servers,74,36
1502,Blaire Comar,Personal,Chef,United States,California,Oceanside,Tech Blogs,Servers,1,6
1503,Arlan Tant,Personal,Software Engineer,United States,California,Chico,Tech Blogs,XPS,1,12
1504,Birk Bagwell,Business,Software Engineer,United States,California,Glendale,Offline,Alienware,69,24
1505,Davita Elliott,Business,Student,Canada,Ontario,Mississauga,Recommendation,XPS,74,36
1506,Siana Stellino,Personal,Software Engineer,United States,California,San Francisco,Recommendation,Servers,2,6
1507,Alina Stevings,Personal,Student,United States,California,Carlsbad,Offline,Servers,2,12
1508,Abbott Fenwick,Business,Student,Canada,Ontario,Peterborough,Recommendation,XPS,26,36
1509,Brittni Hugett,Personal,Chef,United States,California,Sacramento,Offline,Servers,1,36
1510,Amandie Amort,Personal,Game developer,Canada,Ontario,Kingston,Social Networks,XPS,1,6
1511,Nevin Krysztowczyk,Business,Software Engineer,Canada,Ontario,Bancroft,Recommendation,XPS,53,36
1512,Doralia Matanin,Business,Software Engineer,Canada,Ontario,Aylmer,Tech Blogs,XPS,40,24
1513,Patrizius Larham,Personal,Game developer,Canada,Ontario,Brampton,Social Networks,XPS,2,6
1514,Garrek Gorring,Business,Chef,Canada,Ontario,Kirkland Lake,Social Networks,Alienware,54,12
1515,Keelby Godfery,Personal,Software Engineer,United States,California,Glendale,Tech Blogs,Servers,2,36
